episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,42,0,0.019369965370608744,346,0.02430582046508789,False
1,44,0,0.01811082360518434,295,0.019361495971679688,False
2,37,0,0.01893181875742319,343,0.023308515548706055,False
3,39,0,0.01972267919097881,279,0.018334150314331055,False
4,44,0,0.01839828384443266,280,0.019194364547729492,False
5,45,0,0.020505535213129,310,0.021268606185913086,False
6,43,0,0.019152039554361143,410,0.028245925903320312,False
7,34,0,0.01644726289437456,365,0.024885892868041992,False
8,39,0,0.014790787223516136,243,0.01763749122619629,False
9,44,0,0.021222051349203044,354,0.02463984489440918,False
10,34,0,0.022969542197137566,381,0.02602863311767578,False
11,43,0,0.021648000814711032,427,0.02890491485595703,False
12,45,0,0.025005701428772606,343,0.02356743812561035,False
13,39,0,0.02771282853650761,353,0.024901866912841797,False
14,40,0,0.021953108161127926,434,0.028971433639526367,False
15,40,0,0.02859431153255223,370,0.025841236114501953,False
16,37,0,0.018577876952990603,266,0.019734859466552734,False
17,38,0,0.018426798242916563,422,0.02976202964782715,False
18,39,0,0.022798807708110838,368,0.027483224868774414,False
19,40,0,0.029555330460663703,305,0.02075815200805664,False
20,44,0,0.025005333771571374,425,0.02976679801940918,False
21,40,0,0.016572425952598707,252,0.01663947105407715,False
22,38,0,0.01724808857671207,274,0.018686771392822266,False
23,37,0,0.02231320003332143,271,0.018026351928710938,False
24,39,0,0.020061795148595477,275,0.019172191619873047,False
25,44,0,0.016874000374277952,271,0.018629789352416992,False
26,41,0,0.02076485352390533,324,0.02214217185974121,False
27,37,0,0.02803694604523202,321,0.02206277847290039,False
28,37,0,0.023847499385715457,370,0.025435447692871094,False
29,38,0,0.02371592797711699,302,0.021666526794433594,False
