episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,44,0,0.014240978328343857,227,0.017087936401367188,False
1,37,0,0.01533126812854796,275,0.02221226692199707,False
2,39,0,0.0183278749726478,353,0.027141809463500977,False
3,42,0,0.019856200736122213,325,0.02515101432800293,False
4,43,0,0.0179002976316249,302,0.021691560745239258,False
5,44,0,0.0180278445249871,335,0.025398731231689453,False
6,43,0,0.014277554563090026,223,0.016172170639038086,False
7,41,0,0.021600576914354522,336,0.023569345474243164,False
8,37,0,0.02648816959130369,358,0.026812076568603516,False
9,36,0,0.018985884742500826,343,0.02338385581970215,False
10,36,0,0.016066070258981366,321,0.02313828468322754,False
11,38,0,0.015689179900512117,240,0.017613887786865234,False
12,37,0,0.02552708233856172,302,0.02306675910949707,False
13,38,0,0.01609796083246823,330,0.023619413375854492,False
14,46,0,0.028194473780509127,352,0.026057958602905273,False
15,41,0,0.017746760627117605,277,0.031177759170532227,False
16,38,0,0.019222732939509223,468,0.05788874626159668,False
17,42,0,0.0325504733179952,378,0.03731536865234375,False
18,38,0,0.021707090659090975,297,0.02630305290222168,False
19,40,0,0.01418044548204981,232,0.022475004196166992,False
20,39,0,0.024129399118575822,275,0.0248410701751709,False
21,35,0,0.023122500326723187,369,0.03293609619140625,False
22,46,0,0.031180588263912984,418,0.032537221908569336,False
23,41,0,0.023805075678416804,256,0.022591352462768555,False
24,43,0,0.020539857148550326,302,0.025005817413330078,False
25,34,0,0.01744084781895339,244,0.020067691802978516,False
26,33,0,0.016719469373742437,319,0.023151874542236328,False
27,36,0,0.026232153667920737,302,0.024064302444458008,False
28,43,0,0.015490518470545655,279,0.020534992218017578,False
29,39,0,0.01605879290330834,254,0.01735973358154297,False
