episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,38,0,0.02351546618415712,383,0.026274919509887695,False
1,38,0,0.012621176119097148,231,0.016575336456298828,False
2,43,0,0.015276057975013174,267,0.019417285919189453,False
3,40,0,0.02315594995950155,342,0.022553682327270508,False
4,42,0,0.012638428990415767,238,0.01611804962158203,False
5,48,0,0.02651725233581759,296,0.019643306732177734,False
6,39,0,0.015742329722536644,277,0.0187225341796875,False
7,35,0,0.01643962934927907,389,0.027107954025268555,False
8,45,0,0.02630262584921568,390,0.029451370239257812,False
9,43,0,0.024772376638321988,547,0.03668212890625,False
10,36,0,0.01545777607700147,297,0.020116090774536133,False
11,41,0,0.027333630994381367,286,0.018537282943725586,False
12,38,0,0.02417802758248676,343,0.022780656814575195,False
13,41,0,0.019809060056673884,293,0.02026677131652832,False
14,40,0,0.016603772397469466,422,0.02875685691833496,False
15,38,0,0.018102511558511863,393,0.02719712257385254,False
16,40,0,0.026107854339345538,289,0.020615816116333008,False
17,39,0,0.02803392846073409,394,0.02875542640686035,False
18,44,0,0.02312738293151636,346,0.02314615249633789,False
19,41,0,0.027433036971066138,576,0.039490461349487305,False
20,37,0,0.02084222329264429,384,0.026736736297607422,False
21,42,0,0.023557664617765227,226,0.01528477668762207,False
22,38,0,0.0191307200080794,309,0.021605491638183594,False
23,37,0,0.022323591310948986,394,0.02634143829345703,False
24,38,0,0.019689891413562696,299,0.019561290740966797,False
25,34,0,0.016316432667069523,393,0.0276486873626709,False
26,44,0,0.014875812037192125,265,0.018173694610595703,False
27,44,0,0.023412110741557378,267,0.018137454986572266,False
28,40,0,0.015977605375387244,281,0.019047975540161133,False
29,37,0,0.0200267802687204,314,0.0219571590423584,False
