episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,47,0,0.023550394402742734,368,1.5021579265594482,False
1,34,0,0.016200952028648147,273,0.364652156829834,False
2,44,0,0.02919243949353398,324,0.9967632293701172,False
3,44,0,0.022864693867233884,363,1.2489683628082275,False
4,38,0,0.01740066376620409,259,0.22176671028137207,False
5,39,0,0.019456078718798772,278,0.3678557872772217,False
6,44,0,0.015340577102120249,224,0.031847476959228516,False
7,44,0,0.022820326211572654,297,0.5830130577087402,False
8,48,0,0.02777927821127025,258,0.23399710655212402,False
9,42,0,0.023543838480691033,308,0.6059932708740234,False
10,39,0,0.019062711951672143,456,1.8614442348480225,False
11,40,0,0.019687602774252005,292,0.565030574798584,False
12,42,0,0.019961286639230223,311,0.7998442649841309,False
13,37,0,0.01735913685439583,304,0.5896720886230469,False
14,41,0,0.021587541551785105,272,0.4287087917327881,False
15,44,0,0.019588366351827508,265,0.2736539840698242,False
16,42,0,0.020315088710829002,309,0.7942905426025391,False
17,45,0,0.022386703277503195,277,0.5532681941986084,False
18,46,0,0.02412950796991194,347,1.4289305210113525,False
19,41,0,0.022233070448775157,398,1.1998908519744873,False
20,39,0,0.01571601173664312,269,0.23195123672485352,False
21,49,0,0.01921938798460787,235,0.034452199935913086,False
22,41,0,0.018159705744894797,414,1.7554149627685547,False
23,43,0,0.023420828035770683,263,0.3402838706970215,False
24,40,0,0.023037279911816394,278,0.3056321144104004,False
25,37,0,0.0173699795289047,275,0.42299461364746094,False
26,44,0,0.022314179418842763,331,0.8510854244232178,False
27,41,0,0.025805364147938263,284,0.4162609577178955,False
28,41,0,0.02041967469760239,504,2.4913532733917236,False
29,42,0,0.016104483622481274,271,0.31417250633239746,False
