episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,43,0,0.01787376777968985,235,0.03642010688781738,False
1,44,0,0.028313605069728687,323,0.8187820911407471,False
2,36,0,0.027363389525368133,423,1.2393980026245117,False
3,43,0,0.02831471450020571,281,0.37481164932250977,False
4,41,0,0.0226068979779312,376,0.9353001117706299,False
5,40,0,0.020406862129942322,241,0.04165029525756836,False
6,40,0,0.01589609429290654,259,0.19266653060913086,False
7,41,0,0.018849351765665868,279,0.2764723300933838,False
8,44,0,0.022061731112377473,324,0.648261308670044,False
9,40,0,0.02260943349130267,468,1.5242805480957031,False
10,36,0,0.01575900176002782,235,0.035737037658691406,False
11,37,0,0.024609253519340048,274,0.2854442596435547,False
12,37,0,0.014665654464591333,231,0.03372478485107422,False
13,47,0,0.02541479520978019,449,1.6492431163787842,False
14,41,0,0.01929191800422378,359,0.8035833835601807,False
15,42,0,0.02006595561686055,269,0.23885846138000488,False
16,45,0,0.028806704999214387,300,0.48206353187561035,False
17,36,0,0.020053590534194594,278,0.30014944076538086,False
18,40,0,0.016594593301171013,238,0.03616929054260254,False
19,40,0,0.031099757773394902,331,0.704798698425293,False
20,38,0,0.017595328958289365,308,0.4872725009918213,False
21,40,0,0.018568631071157898,300,0.490067720413208,False
22,38,0,0.01926852240799196,259,0.16317510604858398,False
23,41,0,0.022074824047516536,386,1.0701038837432861,False
24,38,0,0.019083376327718567,236,0.03566789627075195,False
25,39,0,0.020612362124732917,305,0.48568010330200195,False
26,36,0,0.02636661263822213,467,1.6212782859802246,False
27,42,0,0.02360684747588447,333,0.7284939289093018,False
28,44,0,0.014673785911085667,219,0.03540158271789551,False
29,37,0,0.01854334639707067,248,0.10118603706359863,False
