episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,50,0,0.01964537298132432,315,0.0217745304107666,False
1,52,0,0.01869496946569155,319,0.021992921829223633,False
2,36,0,0.018835948154573567,331,0.023753643035888672,False
3,45,0,0.018693219504600657,304,0.022652387619018555,False
4,39,0,0.017305968746568614,283,0.020171165466308594,False
5,44,0,0.018687751793160994,424,0.03099679946899414,False
6,34,0,0.014395295213618438,263,0.01805734634399414,False
7,45,0,0.021189056686645523,565,0.04019021987915039,False
8,35,0,0.018168631893198506,324,0.0220794677734375,False
9,36,0,0.02680192649673048,383,0.02829456329345703,False
10,43,0,0.018353583988904253,446,0.03219270706176758,False
11,36,0,0.017032577296041726,334,0.023625612258911133,False
12,41,0,0.021192227543562953,477,0.03237414360046387,False
13,41,0,0.023501144937345068,282,0.019704818725585938,False
14,47,0,0.029042452337884515,318,0.02366352081298828,False
15,47,0,0.016691796640743817,249,0.017353296279907227,False
16,37,0,0.01809171349579702,293,0.019938230514526367,False
17,40,0,0.01785855075776323,343,0.023823022842407227,False
18,46,0,0.012891384784847021,203,0.014616966247558594,False
19,34,0,0.01692751526750197,297,0.021183490753173828,False
20,39,0,0.01522280897515281,255,0.018743515014648438,False
21,38,0,0.016114715297577895,310,0.02143239974975586,False
22,43,0,0.0217449615458274,393,0.0274965763092041,False
23,43,0,0.022392987031601246,276,0.0194399356842041,False
24,39,0,0.015793066060974543,264,0.017641067504882812,False
25,40,0,0.01586474648608685,311,0.02073979377746582,False
26,38,0,0.02052171305405814,271,0.017677783966064453,False
27,35,0,0.018149442118659757,271,0.019115924835205078,False
28,41,0,0.019211121338829414,241,0.017327547073364258,False
29,34,0,0.026313760596379153,276,0.01955437660217285,False
