episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,40,0,0.017457433780557544,300,0.022732973098754883,False
1,39,0,0.018036654096221738,306,0.022039175033569336,False
2,42,0,0.026901048336731005,471,0.0332183837890625,False
3,35,0,0.014679604640382145,273,0.01903223991394043,False
4,40,0,0.01542276001845774,245,0.016533374786376953,False
5,39,0,0.016507467223604008,512,0.03771162033081055,False
6,36,0,0.022168030450336287,276,0.018316984176635742,False
7,40,0,0.021110196053995018,366,0.027146577835083008,False
8,36,0,0.03217418416117715,378,0.027550458908081055,False
9,47,0,0.024032607235931577,376,0.02655625343322754,False
10,39,0,0.027674940819993984,343,0.02355337142944336,False
11,45,0,0.020091345618777023,315,0.021590709686279297,False
12,49,0,0.01599673384574834,246,0.017035961151123047,False
13,40,0,0.01738271158059659,289,0.020226001739501953,False
14,44,0,0.023164202736485406,355,0.02409529685974121,False
